Link,UniqueClicks,PctUniqClicks,TotalClicks,PctTotal Clicks,NetCTR,EmailNumber,LinkPlacement,Date
http://instagram.com/USouthernMaine,63,6.59%,118,10.46%,0.77%,Email9,Email9 Link_Number 7,12/04/2019
http://facebook.com/USouthernMaine,63,6.59%,63,5.59%,0.77%,Email9,Email9 Link_Number 8,12/04/2019
http://www.linkedin.com/school/university-of-southern-maine,61,6.38%,61,5.41%,0.75%,Email9,Email9 Link_Number 9,12/04/2019
http://youtube.com/user/USouthernMaine,61,6.38%,61,5.41%,0.75%,Email9,Email9 Link_Number 10,12/04/2019
Unsubscribe,17,1.78%,49,4.34%,0.21%,Email9,Email9 Link_Number 11,12/04/2019
http://view.e-usm.maine.edu/?j=febb13737c67037a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,3,0.31%,4,0.36%,0.04%,Email9,Email9 Link_Number 12,12/04/2019
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febb13737c67037a&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,3,0.31%,3,0.27%,0.04%,Email9,Email9 Link_Number 13,12/04/2019
http://usm.maine.edu/high-school-students,2,0.21%,2,0.18%,0.02%,Email9,Email9 Link_Number 14,12/04/2019
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febb13737c67037a&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 15,12/04/2019
http://view.e-usm.maine.edu/ftaf.aspx?j=febb13737c67037a&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0.00%,0,0.00%,0.00%,Email9,Email9 Link_Number 16,12/04/2019
