Link,Total,Unique,Net CTRs,Email Name
http://click.e-usm.maine.edu/profile_center.aspx?s=%%ex2;subscriberid%%&mid=%%ex2;MemberID%%&j=febd1779756d037b&l=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,2,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
Unsubscribe,3,1,0.001,FY19 Adult App Gen - Email 07 (Community Connections)
https://facebook.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://twitter.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://instagram.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://youtube.com/user/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
http://click.e-usm.maine.edu/unsub_center.aspx?s=%%ex2;subscriberid%%&j=febd1779756d037b&mid=%%ex2;MemberID%%&lid=%%ex2;listid%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://youtube.com/user/USouthernMaine,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://www.linkedin.com/school/university-of-southern-maine/,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://usm.maine.edu/undergraduate,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
http://view.e-usm.maine.edu/?j=febd1779756d037b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&l=%%ex2;listid%%&s=%%ex2;SubscriberID%%&jb=%%ex2;_JobSubscriberBatchID%%&ju=%%ex2;joburlid%%,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
http://view.e-usm.maine.edu/ftaf.aspx?j=febd1779756d037b&m=%%ex2;MemberID%%&ls=%%ex2;listsubid%%&jb=%%ex2;_JobSubscriberBatchID%%,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
http://usm.maine.edu,0,0,0,FY19 Adult App Gen - Email 07 (Community Connections)
https://usm.maine.edu/office-of-admissions/video-auma-aliardo,11,11,0.007,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://usm.maine.edu/apply,6,6,0.004,FY19 Adult App Gen - Email 08 (Auma Aliardo)
Unsubscribe,12,4,0.002,FY19 Adult App Gen - Email 08 (Auma Aliardo)
http://usm.maine.edu,1,1,0.001,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://facebook.com/USouthernMaine,1,1,0.001,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://instagram.com/USouthernMaine,1,1,0.001,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://facebook.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://twitter.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://instagram.com/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://youtube.com/user/usouthernmaine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
https://www.linkedin.com/school/university-of-southern-maine,0,0,0,FY19 Adult App Gen - Email 08 (Auma Aliardo)
